Position (mm);10 x 10 MLC parked X d10cm (LR);10 x 10 MLC parked X d10cm (GT);10 x 10 MLC parked Y d10cm (LR);10 x 10 MLC parked Y d10cm (GT);10 x 10 MLC defined X d10cm (LR);10 x 10 MLC defined X d10cm (GT);10 x 10 MLC defined Y d10cm (LR);10 x 10 MLC defined Y d10cm (GT);10 x 10 MLC defined X d15cm (LR);10 x 10 MLC defined X d15cm (GT);10 x 10 MLC defined Y d15cm (LR);10 x 10 MLC defined Y d15cm (GT);10 x 10 MLC defined X d20cm (LR);10 x 10 MLC defined X d20cm (GT);10 x 10 MLC defined Y d20cm (LR);10 x 10 MLC defined Y d20cm (GT);10 x 10 MLC defined X d25cm (LR);10 x 10 MLC defined X d25cm (GT);10 x 10 MLC defined Y d25cm (LR);10 x 10 MLC defined Y d25cm (GT);5 x 5 MLC parked X d10cm (LR);5 x 5 MLC parked X d10cm (GT);5 x 5 MLC parked Y d10cm (LR);5 x 5 MLC parked Y d10cm (GT);5 x 5 MLC defined X d10cm (LR);5 x 5 MLC defined X d10cm (GT);5 x 5 MLC defined Y d10cm (LR);5 x 5 MLC defined Y d10cm (GT);15 x 15 MLC parked X d10cm (LR);15 x 15 MLC parked X d10cm (GT);15 x 15 MLC parked Y d10cm (LR);15 x 15 MLC parked Y d10cm (GT);15 x 15 MLC defined X d10cm (LR);15 x 15 MLC defined X d10cm (GT);15 x 15 MLC defined Y d10cm (LR);15 x 15 MLC defined Y d10cm (GT)
-123;0.016958132;0.017434596;0.020551748;0.021503515;0.01427772;0.014684473;0.013471345;0.014049849;0.021962538;0.022979884;0.021234281;0.022588151;0.030654953;0.032342325;0.029786404;0.031972838;0.039933005;0.042462539;0.038843412;0.042079404;0.006328775;0.00641579;0.00742345;0.00755712;0.003609459;0.003623904;0.003411111;0.003473016;0.040095448;0.043080866;0.047006414;0.051121878;0.035661207;0.038947116;0.034567216;0.037858896
-121;0.017647421;0.018219966;0.021325199;0.02244025;0.014947491;0.015362752;0.014047442;0.01482132;0.022853744;0.023946787;0.022029736;0.023616702;0.03189904;0.033902125;0.031104339;0.033475816;0.041612369;0.044367787;0.040452617;0.043893704;0.006445669;0.006567141;0.007595582;0.007752736;0.003753859;0.003807435;0.003569324;0.003599675;0.041962584;0.045444191;0.048999708;0.053671365;0.037374509;0.041093954;0.036280373;0.040017611
-119;0.018342246;0.018975661;0.022148158;0.023468368;0.015605296;0.016001014;0.014633658;0.015550247;0.023802379;0.025069192;0.023034001;0.024816916;0.03304791;0.035312008;0.03230068;0.034917798;0.04310259;0.046305554;0.041978791;0.045832271;0.00659309;0.006765677;0.007806787;0.007950682;0.003881701;0.003969037;0.003667784;0.003763308;0.044119539;0.047926589;0.051370818;0.056345217;0.039328502;0.043587487;0.037924616;0.042173658
-117;0.018991314;0.019855005;0.023060942;0.024506118;0.016216065;0.016758232;0.015407468;0.016312934;0.024892118;0.026319638;0.024085913;0.025967523;0.034252317;0.037026975;0.033712201;0.036478914;0.044743537;0.048372123;0.043582579;0.04777976;0.00676481;0.006932756;0.008005663;0.008188734;0.004092616;0.004107404;0.003826229;0.003919862;0.046455149;0.050566888;0.053567275;0.059270391;0.041327653;0.046219698;0.039941258;0.044628562
-115;0.019819391;0.02068567;0.024166852;0.025666493;0.016874784;0.017624637;0.015981048;0.017272925;0.025893734;0.02757258;0.02515144;0.027273376;0.035756268;0.038616854;0.035032609;0.038172028;0.046501796;0.050383217;0.045622174;0.049805633;0.006949812;0.007166357;0.00825585;0.008431702;0.004211799;0.004335317;0.003964879;0.00406173;0.048786814;0.053652413;0.056290171;0.062366566;0.043511362;0.048873243;0.04174582;0.047243569
-113;0.020678431;0.021769361;0.025068748;0.026907055;0.017484217;0.018524256;0.016807169;0.018064565;0.026999836;0.028982096;0.026259689;0.028532834;0.03750403;0.040568632;0.036466798;0.040089588;0.048349572;0.052545431;0.047445848;0.051996559;0.007062493;0.007289346;0.008414342;0.008659404;0.004415601;0.00452381;0.004140274;0.004264174;0.051464087;0.056580037;0.058792081;0.065447197;0.046011462;0.051750807;0.044021309;0.049954638
-111;0.021460459;0.022664064;0.02612634;0.02816454;0.018226208;0.019354864;0.017637265;0.018996893;0.02826754;0.030374848;0.027434035;0.029953248;0.039038341;0.042391979;0.037959948;0.041857994;0.050224637;0.055079385;0.049155353;0.054359546;0.007285948;0.007493812;0.008688264;0.008970942;0.004580729;0.00470943;0.004271027;0.004424398;0.05414588;0.059838994;0.06174269;0.068841331;0.048565388;0.055020402;0.046324528;0.052884513
-109;0.022356906;0.02389249;0.027235416;0.029513148;0.019125528;0.020406646;0.018351047;0.020134143;0.029374548;0.031991226;0.028719225;0.03156531;0.040765178;0.044673192;0.039689716;0.043864189;0.052509023;0.057520882;0.050970217;0.056975529;0.007445235;0.007701114;0.008903121;0.009221414;0.004799669;0.004967888;0.004446329;0.004640741;0.057155686;0.063286912;0.064507558;0.072310602;0.051316881;0.058423341;0.048927579;0.056203971
-107;0.023327111;0.025172719;0.028474858;0.030984119;0.019982266;0.021553019;0.019273128;0.021170507;0.030851166;0.033587631;0.030181185;0.033184868;0.042543719;0.046759131;0.041399135;0.046086252;0.054773545;0.06033667;0.053298736;0.059536707;0.007610318;0.007956116;0.009135694;0.009591171;0.005009496;0.005200501;0.004652059;0.004852887;0.060206079;0.067177469;0.067921214;0.076095968;0.054454178;0.062292983;0.051783392;0.059731562
-105;0.024545542;0.026468827;0.029641567;0.032728456;0.020924511;0.022809456;0.020367895;0.022368838;0.032288896;0.035317783;0.031419401;0.034981799;0.044547754;0.049138219;0.043274747;0.048153443;0.057323526;0.063060639;0.055366872;0.062322202;0.007848258;0.008217822;0.009471146;0.009920563;0.005179992;0.005424499;0.004814168;0.005023601;0.063823181;0.071148271;0.071268445;0.080189657;0.057987738;0.066354642;0.054892058;0.063536663
